Names,Meaning,Vectors
Натиа,Щедрая,
Дарья,Огонь великий,
Екатерина,Чистая,
Маргарита,Жемчужина,
Георгий,Земледелец,
Виктория,Завоевательница,
Ксения,Гостеприимная,
Мария,Горькая,
Софья,Премудрость,
Александра,Защитница,
Мария,Горькая,
Дарья,Огонь великий,
Екатерина,Чистая,
Мария,Горькая,
Екатерина,Чистая,
Илья,Решительный,
Виктория,Завоевательница,
Алёна,Любимая,
Мария,Горькая,
Виктория,Завоевательница,
Екатерина,Чистая,
Алина,Другая,
Никита,Победитель,
Анастасия,Воскрешение,
Дарья,Огонь великий,
Софья,Премудрость,
Руслан,Лев,
Дана,Утренняя звезда,
Диана,Божественная,
Мария,Горькая,
Денис,Посвященный Дионису,
Полина,Маленькая,
Надежда,Надежда,
Екатерина,Чистая,
Дарина,Подарок,
Владислав,Правило славы,
Полина,Маленькая,
Анна,Польза,
Тимофей,Почитающий Бога,
Елизавета,Почитающая Бога,
Роман,Сильный,
Алиса,Благородная,
Валентина,Здоровая,
Мария,Горькая,
Егор,Земледелец,
Савелий,Выпрошенный у Бога,
Алена,Любимая,
Ангелина,Ангельская,
Виктория,Завоевательница,
Юлия,Учтивая,
Екатерина,Чистая,
Арина,Мир,
Ксения,Гостеприимная,
Елена,Зеленая,
Мария,Горькая,
Виктория,Завоевательница,
Екатерина,Чистая,
Полина,Маленькая,
Елизавета,Почитающая Бога,
Анастасия,Воскрешение,
Елизавета,Почитающая Бога,
София,Мудрость,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Алина,Другая,
Анастасия,Воскрешение,
Ирина,Мир,
Полина,Маленькая,
Иллария,Тихий,
Алина,Другая,
Андрей,Мужественный,
Александра,Защитница,
Виктория,Завоевательница,
Манижа,Желанная,
Ростислав,Растущая слава,
Диана,Божественная,
Дарья,Огонь великий,
Георгий,Земледелец,
Самуил,Бог услышал,
Никита,Победитель,
Вадим,Смутьян,
Юлия,Учтивая,
Павел,Небольшой,
Даниил,Судья,
Виктория,Завоевательница,
Олег,Священный,
Екатерина,Чистая,
Климентий,Милостивый,
Вячеслав,Более славный,
Сергей,Высокий,
Жанна,Милость Божья,
Елена,Зеленая,
Дарья,Огонь великий,
Георгий,Земледелец,
Ариана,Святая,
Константин,Стойкий,
Артём,Здоровый,
Дмитрий,Земледелец,
Екатерина,Чистая,
Александра,Защитница,
Валерия,Сильная,
Ксения,Гостеприимная,
Виктор,Завоеватель,
Анна,Польза,
Алина,Другая,
Анастасия,Воскрешение,
Мария,Горькая,
Аврора,Рассвет,
Сергей,Высокий,
Саломе,Светлое знание,
Мария,Горькая,
Филипп,Любящий лошадей,
Александра,Защитница,
Ксения,Гостеприимная,
Екатерина,Чистая,
Константин,Стойкий,
Егор,Земледелец,
Мария,Горькая,
Дарья,Огонь великий,
Юлия,Учтивая,
Николай,Победитель народов,
Никита,Победитель,
Алина,Другая,
Ксения,Гостеприимная,
Ксения,Гостеприимная,
Лада,Владеющая славой,
Сергей,Высокий,
Лилия,Цветок,
Виктория,Завоевательница,
Ева,Дающая жизнь,
Алина,Другая,
Алина,Другая,
Александра,Защитница,
Полина,Маленькая,
Алина,Другая,
Юлия,Учтивая,
Юлия,Учтивая,
Софья,Премудрость,
Дарья,Огонь великий,
София,Мудрость,
Айна,Прекрасная,
София,Мудрость,
Анастасия,Воскрешение,
Полина,Маленькая,
Ксения,Гостеприимная,
Валерия,Сильная,
Елизавета,Почитающая Бога,
Татьяна,Повелительница,
Дарья,Огонь великий,
Тимофей,Почитающий Бога,
Анна,Польза,
Анастасия,Воскрешение,
Данил,Судья,
Егор,Земледелец,
Сергей,Высокий,
Ангелина,Ангельская,
Светлана,Светлая,
Никита,Победитель,
Милена,Хорошая,
Инна,Плавающая,
Яна,Милость Божья,
Елена,Зеленая,
Елена,Зеленая,
Мария,Горькая,
Дарья,Огонь великий,
Даниил,Судья,
Дарья,Огонь великий,
Илья,Решительный,
Иван,Божья благодать,
Екатерина,Чистая,
Дмитрий,Земледелец,
Максим,Большой,
Мария,Горькая,
Софья,Премудрость,
Эльза,Богиня,
Виктория,Завоевательница,
Илья,Решительный,
Юлиан,Сошёл с Юпитера,
Маргарита,Жемчужина,
Владислав,Правило славы,
Анжелика,Ангельская,
Роман,Сильный,
Олеся,Лесная,
Анастасия,Воскрешение,
Егор,Земледелец,
Юлия,Учтивая,
Чингиз,Повелитель воды,
Алина,Другая,
Арутюн,Богатство,
Яна,Милость Божья,
Нина,Царица,
Ева,Дающая жизнь,
Мария,Горькая,
Елизавета,Почитающая Бога,
Иван,Божья благодать,
Лана,Камень,
Анастасия,Воскрешение,
Юрий,Земледелец,
Гюнель,Солнце народа,
Анастасия,Воскрешение,
Александра,Защитница,
Арина,Мир,
Виктория,Завоевательница,
Имми,Конкурент,
Иван,Божья благодать,
Дарья,Огонь великий,
Диана,Божественная,
Анастасия,Воскрешение,
Юлия,Учтивая,
Надежда,Надежда,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Полина,Маленькая,
Валерия,Сильная,
Елизавета,Почитающая Бога,
Владимир,Владающий миром,
Ксения,Гостеприимная,
Александр,Защитник,
Валерия,Сильная,
Даниил,Судья,
Валерия,Сильная,
Анатолий,Восточный,
Игорь,Хладнокровный воин,
Софья,Премудрость,
Анна,Польза,
Виктория,Завоевательница,
Маргарита,Жемчужина,
Анастасия,Воскрешение,
София,Мудрость,
Антон,Боец,
Анна,Польза,
Екатерина,Чистая,
Алина,Другая,
Даниэлла,Судья,
Наталья,Родной,
Елизавета,Почитающая Бога,
Татьяна,Повелительница,
Нчоо,Растущая,
Данил,Судья,
Дарья,Огонь великий,
Екатерина,Чистая,
Анастасия,Воскрешение,
Олег,Смутьян,
Юлия,Учтивая,
Юлия,Учтивая,
Варвара,Жестокая,
Ольга,Светлая,
Вячеслав,Более славный,
Артем,Мясник,
Екатерина,Чистая,
Полина,Маленькая,
Виктория,Завоевательница,
Валерия,Сильная,
Александр,Защитник,
Ирина,Мир,
Алексей,Защитник,
Виктория,Завоевательница,
Давид,Любимец,
Екатерина,Чистая,
Дарья,Огонь великий,
Валерия,Сильная,
Виолетта,Фиолетовый,
Алиса,Благородная,
Ева,Дающая жизнь,
Арина,Мир,
Яна,Милость Божья,
Диана,Божественная,
Матвей,Дар Бога,
Евгений,Благородный,
Илья,Решительный,
Анна,Польза,
Виктория,Завоевательница,
Софья,Премудрость,
Екатерина,Чистая,
Анастасия,Воскрешение,
Дарья,Огонь великий,
Даниил,Судья,
Юлия,Учтивая,
Андрей,Мужественный,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Амар,Богородица,
Анастасия,Воскрешение,
Елизавета,Почитающая Бога,
Дарья,Огонь великий,
Диана,Божественная,
Ксения,Гостеприимная,
Сергей,Высокий,
Сусанна,Лилия,
Алёна,Любимая,
Юрий,Земледелец,
Иван,Божья благодать,
Рабиат,Приветствие,
Анна,Польза,
Евгения,Благородная,
Марина,Морская,
Саид,Охотник,
Валерия,Сильная,
Валерия,Сильная,
Денис,Посвященный Дионису,
Вероника,Свет победы,
Дженнет,Рай,
Лилия,Цветок,
Нона,Девятая,
Диана,Божественная,
Алина,Другая,
Анна,Польза,
Валерия,Сильная,
Николай,Победитель народов,
Анастасия,Воскрешение,
Кристина,Последователь,
Маргарита,Жемчужина,
Надежда,Надежда,
Артем,Мясник,
Ульяна,Принадлежащая Юлию,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Владлена,Владимир Ильич,
Мохаммед,Восхваляемый,
Дарья,Огонь великий,
Екатерина,Чистая,
Анастасия,Воскрешение,
Екатерина,Чистая,
Дарья,Огонь великий,
Валерия,Сильная,
Анна,Польза,
Ника,Победа,
Анна,Польза,
Абдаллах,Слуга,
Светлана,Светлая,
Нассереддин,Помощь веры,
Виктория,Завоевательница,
Семен,Бог услышал,
Омар,Процветающий,
Айша,Живущая,
Анастасия,Воскрешение,
Кристина,Последователь,
Ахмед,Лучший,
Тарана,Готовая к действию,
Наталья,Родной,
Лилия,Цветок,
Кристина,Последователь,
Анастасия,Воскрешение,
Аксинья,Гостеприимная,
Инна,Плавающая,
Анастасия,Воскрешение,
Даниэлла,Судья,
Анастасия,Воскрешение,
Анастасия,Воскрешение,
Николай,Победитель народов,
Людмила,Людям милая,
Дмитрий,Земледелец,
Екатерина,Чистая,
Инна,Бурный поток,
Александра,Защитница,
Галина,Другая,
Егор,Земледелец,
Диана,Божественная,
Ангелина,Ангельская,
Анастасия,Воскрешение,
Екатерина,Чистая,
Ангелина,Ангельская,
Елизавета,Почитающая Бога,
Яна,Милость Божья,
Влада,Владеющая славой,
Анастасия,Воскрешение,
Ирина,Мир,
Елена,Зеленая,
Александра,Защитница,
Эльвира,Оберегающая,
Анна,Польза,
Кристина,Последователь,
Петр,Скала,
Ольга,Светлая,
Валентина,Здоровая,
Ксения,Гостеприимная,
Вероника,Свет победы,
Амина,Верная,
Анастасия,Воскрешение,
Александра,Защитница,
Мария,Горькая,
Анна,Польза,
Александра,Защитница,
Марина,Морская,
Карина,Орех,
Екатерина,Чистая,
Евгения,Благородная,
Валерия,Сильная,
Инесса,Чистая,
Анастасия,Воскрешение,
Татьяна,Повелительница,
Анастасия,Воскрешение,
Ангелина,Ангельская,
Изабелла,Богиня,
Анна,Польза,
Анастасия,Воскрешение,
Виктория,Завоевательница,
Екатерина,Чистая,
Виктория,Завоевательница,
Ксения,Гостеприимная,
Алина,Другая,
Светлана,Светлая,
Диана,Божественная,
Анастасия,Воскрешение,
Юлия,Учтивая,
Екатерина,Чистая,
Ирина,Мир,
Елена,Зеленая,
